name,photo,qualification,work_experience,current_position,current_employer,field_of_expertise,skills,average_rating,id,description,previous_employer_1,previous_employer_2,address_1,address_2
Tina Johnson,https://dummyimage.com/77x115,MSc in Information Systems,32,Principal Systems Analyst,Moore Group,Systems Analysis,"Technical Documentation, Business Analysis, Database Management, System Analysis, Process Improvement",4.9,325,No description available,Meyers Inc,"Pollard, Beck and French","095 Christian Oval Suite 673
Port Davidport, OK 19251","532 Christian Unions
Hughesmouth, WV 28453"
Ashley Carter,https://placekitten.com/856/858,BSc in Computer Science,1,Senior Full Stack Developer,"Howard, Delgado and Weeks",Frontend and Backend Integration,"Angular, React, JavaScript, SQL, Full Stack Development",2.4,326,No description available,Mosley PLC,"Baker, Rodriguez and Sloan","74283 Blake Oval
Port Johnville, RI 77627","44295 Foster Harbor Apt. 526
East Raymond, MS 70531"
Tammie Jones,https://dummyimage.com/183x48,MSc in Data Engineering,13,Data Engineer,Murray-Garza,ETL Processes,"Data Warehousing, ETL, Python, Data Pipeline Development, Hadoop",1.1,327,"Skilled in building and maintaining data pipelines, ensuring data integrity and availability for analysis.",Jones and Sons,Cordova-Henry,"PSC 7331, Box 3092
APO AE 73775","8617 Stephen Stream
New Kathleen, IN 06673"
Samantha Glenn,https://picsum.photos/630/364,BSc in Information Technology,11,Principal DevOps Engineer,Howard and Sons,Infrastructure as Code,"Shell Scripting, Kubernetes, Linux, AWS, Ansible",2.6,328,No description available,"Bennett, Stein and Morgan",Henderson Inc,"1047 Cohen Row Apt. 439
New Justinshire, MS 88998","927 Bridges Bridge
Desireemouth, SD 99613"
Ricardo Gonzales,https://picsum.photos/779/619,MSc in Computer Science,19,Mobile App Developer,Huff PLC,Android Development,"Android Development, Kotlin, Cross-Platform Development, Java, Mobile UI Design",2.0,329,"Experienced in developing mobile applications for iOS and Android platforms, focusing on performance and user experience.",Fernandez-Davis,"Lewis, Gonzalez and Schmidt","26357 David Valley Apt. 217
Lake Christopher, CA 74438","00845 Alvarez Road Apt. 202
Braunshire, DC 49264"
Alexis Daniel,https://placekitten.com/287/100,BSc in Data Science,21,Data Scientist,Schmidt-Pacheco,Predictive Analytics,"R, Data Mining, Statistics, Big Data, Data Visualization",4.8,330,"Skilled in data analysis, machine learning, and transforming data into actionable insights.",Higgins-Lucas,Moran-Olson,"USCGC Mitchell
FPO AE 29956","67542 Steven Dale
Ianchester, UT 97964"
Andre Robinson,https://picsum.photos/762/176,BSc in Information Technology,9,Frontend Developer,Johnson LLC,Frontend Development,"UI/UX Design, CSS, TypeScript, HTML, JavaScript",2.8,331,Proficient in creating engaging and responsive user interfaces using modern web technologies.,Meyer LLC,Brown Inc,"PSC 9474, Box 3121
APO AA 39872","4751 Gina Dale
Aimeemouth, ME 38121"
William Nguyen,https://placekitten.com/439/988,BSc in Information Systems,16,Systems Analyst,Garcia PLC,Systems Analysis,"System Analysis, Process Improvement, Technical Documentation, System Integration, Requirements Gathering",4.1,332,Experienced in analyzing and improving system processes to enhance business operations.,"Robinson, Clark and Tran","Flores, Stevenson and Brown","Unit 6153 Box 9929
DPO AP 30447","17148 Jimmy Points
Jenniferberg, MA 53171"
Crystal Martinez,https://dummyimage.com/195x286,BSc in Business Administration,6,Product Manager,Taylor-White,Agile Development,"Stakeholder Management, Product Roadmap, Agile, Project Management, Product Lifecycle Management",3.3,333,"Responsible for defining product vision, strategy, and roadmap to deliver value to customers and stakeholders.",Ford and Sons,"Chase, Jackson and Hahn","02552 Harris Cliff Apt. 107
Starkfort, NM 84135","523 Kevin Mount Suite 637
New Kyle, AS 87628"
Linda Pruitt,https://dummyimage.com/285x351,BSc in Information Systems,8,Senior Systems Analyst,"Francis, Allen and Smith",Business Analysis,"Database Management, System Analysis, Process Improvement, Technical Documentation, Requirements Gathering",3.2,334,No description available,"Roberts, Woods and Cook",Gonzalez-Gardner,"36517 Dana Crossing Suite 947
New Alexa, PW 54243","0385 Gibson Village
Ayalaport, OK 09011"
Brandon Hines,https://dummyimage.com/461x324,MSc in Information Technology,27,DevOps Engineer,Bradley-Wright,Automation,"Azure, Linux, Shell Scripting, Ansible, AWS",5.0,335,"Expert in automation, continuous integration, and efficient deployment processes.","Ramirez, Jordan and Brown",Conner-Pace,"11178 Melvin Manors Apt. 370
East Ronald, AR 37507","9875 Pierce Ways Suite 956
Kaylafurt, VA 01481"
Michael Santos,https://placekitten.com/626/682,BSc in Computer Science,40,Full Stack Developer,Mcdonald-Marsh,API Development,"React, CSS, REST APIs, Angular, JavaScript",4.3,336,"Versatile developer with expertise in both frontend and backend development, capable of building complete web applications.","Pierce, Allen and Ruiz","Scott, Simon and Jones","Unit 1168 Box 4227
DPO AE 77793","7504 Matthew Pike Apt. 958
South James, NC 32046"
Marie Adams,https://dummyimage.com/304x591,BSc in Data Engineering,9,Senior Data Engineer,Mcguire-Marquez,ETL Processes,"Data Warehousing, Big Data, Python, ETL, Apache Spark",4.8,337,No description available,"Robles, Gardner and Carrillo","Garcia, Mcconnell and Duncan","98359 Williamson Locks
Williamstown, WY 93402","PSC 7913, Box 5147
APO AA 41432"
Charles Davidson,https://dummyimage.com/147x993,BSc in Information Systems,5,Systems Analyst,Jones Inc,Process Improvement,"System Integration, System Analysis, Requirements Gathering, UML, Process Improvement",4.5,338,Experienced in analyzing and improving system processes to enhance business operations.,Rangel-Oneal,"Estrada, Carr and Alexander","899 Daniel Plaza
New Anthony, AZ 42111","31037 Padilla Gardens
South Nancy, TN 93372"
Amber Perez,https://placekitten.com/889/592,BSc in Business Administration,37,Product Manager,Petersen-Bartlett,Agile Development,"Scrum, User Experience, Stakeholder Management, Agile, Product Lifecycle Management",1.1,339,"Responsible for defining product vision, strategy, and roadmap to deliver value to customers and stakeholders.","Blair, Salazar and Webster","Rangel, Webb and Moyer","930 Jonathan Lodge
Collinschester, OK 39679","9142 Kim Oval
North Michaelburgh, MD 51295"
Alexis Williams,https://placekitten.com/964/349,BSc in Computer Science,33,Mobile App Developer,Morgan PLC,iOS Development,"Cross-Platform Development, Mobile UI Design, Swift, React Native, iOS Development",3.6,340,"Experienced in developing mobile applications for iOS and Android platforms, focusing on performance and user experience.","Johnson, Miller and Hurley",Thompson LLC,"88036 Ortega Tunnel Suite 637
Port Hannah, AS 53480","20233 Jimmy Forge Suite 858
West Michael, PR 60276"
Alyssa Newton,https://dummyimage.com/940x956,BSc in Computer Science,18,Senior Software Engineer,"Howell, Clark and Shepherd",System Design,"Java, Database Management, Python, API Development, Agile Methodologies",2.2,341,"Seasoned software engineer with expertise in software design, development, and system architecture.","Tyler, Nguyen and Lewis",Gordon Inc,"787 Justin Unions
Calhounchester, VT 95347","866 Richard Mountains
Aguilarhaven, IN 12796"
Amanda Martinez,https://picsum.photos/701/798,BSc in Network Engineering,14,Senior Network Engineer,"Larsen, Holloway and Sexton",Network Security,"Network Troubleshooting, TCP/IP, VPN, Cisco, Wireless Networking",4.5,342,No description available,"Davis, Wright and Padilla",Williams Inc,"30016 Norris Locks Suite 719
Lauraview, SD 04375","5203 Ralph Shoals Suite 271
Stewartton, FM 98417"
Vanessa Patel,https://dummyimage.com/818x198,MSc in Blockchain Technology,34,Senior Blockchain Engineer,"Fisher, Banks and Lee",Blockchain Technology,"Consensus Algorithms, Hyperledger, Smart Contracts, Bitcoin, Ethereum",4.4,343,No description available,"Garrett, Lane and Bradley",Gilmore-Webb,"Unit 4668 Box 5781
DPO AE 95550","3539 Smith Manors Suite 069
Lake Davidmouth, WI 99449"
Amber Lara,https://picsum.photos/436/112,BSc in Data Engineering,7,Senior Data Engineer,Chen Ltd,Big Data,"Data Pipeline Development, ETL, Apache Spark, SQL, Big Data",2.9,344,No description available,Romero-Norman,Jackson-Walton,"7965 Paige Plain Apt. 441
Edwardsland, AZ 30471","766 Woods Pine Apt. 704
West John, PA 00755"
Emily Phillips,https://dummyimage.com/471x877,BSc in Information Technology,7,Senior Frontend Developer,Hunter Ltd,UI/UX Design,"Angular, Vue.js, Responsive Design, JavaScript, UI/UX Design",2.4,345,No description available,Holt-Lloyd,Jordan LLC,"517 Sabrina Crest Suite 148
Lake Richard, VA 02460","4649 Hughes Camp Apt. 095
Port Timothyborough, AS 83046"
Amy Melton,https://placekitten.com/24/727,BSc in Computer Science,7,Senior Software Engineer,"Thompson, Santos and Davis",Database Systems,"API Development, Python, Debugging, Java, Software Design",1.0,346,"Seasoned software engineer with expertise in software design, development, and system architecture.","Maldonado, Franco and Richardson",Perkins PLC,"USNV Brown
FPO AA 27118","7566 Lisa Islands
Burtonland, VA 34534"
Hannah Strickland,https://dummyimage.com/409x644,MSc in Computer Science,17,Principal Mobile App Developer,Pham Group,Mobile App Development,"Kotlin, Java, Swift, iOS Development, Flutter",4.8,347,No description available,"Floyd, Hopkins and Page",Thompson Group,"01271 Daniel Ridge
Donaldfort, WA 54279","PSC 9433, Box 3371
APO AE 57628"
Michelle Singleton,https://picsum.photos/100/197,MSc in Information Technology,24,Principal DevOps Engineer,Garcia LLC,Infrastructure as Code,"CI/CD, Shell Scripting, Docker, Azure, Linux",2.4,348,No description available,"Reeves, Barnes and Cruz","Jennings, Garner and Cummings","7533 Graves Overpass
Tiffanyberg, PW 51099","29081 Linda Overpass
Thomasfurt, NC 57605"
Linda Cardenas,https://placekitten.com/470/162,BSc in Business Administration,23,Principal Product Manager,"Barnes, Nguyen and Rose",Market Analysis,"Market Research, Project Management, Product Roadmap, Agile, Scrum",3.9,349,No description available,Mathis and Sons,"Reeves, Barnes and Lucero","7433 Rodriguez Wall Suite 713
Lake Ashleyberg, DE 10769","0876 Fletcher Ville
Jasonfurt, WI 05489"
Carolyn Rodriguez,https://placekitten.com/595/1014,BSc in Information Technology,14,Principal Frontend Developer,"Kramer, Wright and Fisher",Frontend Development,"TypeScript, Responsive Design, UI/UX Design, React, Angular",2.2,350,No description available,Bailey and Sons,"Rivas, Cruz and Parker","68315 Ramos Walk
Michaeltown, MI 84171","90364 Ralph Crossing
Ricardofort, NY 74937"
Kelly Powers,https://placekitten.com/85/692,BSc in Data Science,29,Principal Data Scientist,"Martinez, Olsen and Rodriguez",Big Data,"Big Data, Data Visualization, SQL, Data Mining, Statistics",4.7,351,No description available,Miller-Olsen,Green-Dixon,"1208 Regina Hills
Lisafurt, NC 06228","339 Mary Lights Apt. 642
Kimberlyton, IA 36810"
Lori Wagner,https://dummyimage.com/672x394,MSc in Computer Science,33,Product Manager,"Reyes, Howell and Galvan",Product Management,"Stakeholder Management, Market Research, User Experience, Product Lifecycle Management, Project Management",4.1,352,"Responsible for defining product vision, strategy, and roadmap to deliver value to customers and stakeholders.",Taylor-Flores,Riley Ltd,"25272 Weaver Centers Apt. 245
East Christopherhaven, FM 21794","44054 Lee Junction
Daniellefurt, AS 31667"
Debbie Webb,https://picsum.photos/82/165,BSc in Computer Science,12,Backend Developer,Mcgrath-Clark,API Development,"Node.js, Go, Python, Microservices, Java",1.4,353,"Expert in server-side development, databases, and API integration to support frontend applications.","Jones, Romero and Johnson","Pineda, Ferguson and Smith","56324 Sherri Mall
Mcdonaldburgh, WY 50208","6231 Murray Vista Suite 732
Jessicaberg, CO 09445"
Gregory Clark,https://picsum.photos/232/819,MSc in Computer Science,8,Mobile App Developer,Taylor PLC,Mobile App Development,"Mobile UI Design, iOS Development, Android Development, Swift, Java",4.0,354,"Experienced in developing mobile applications for iOS and Android platforms, focusing on performance and user experience.",Sawyer LLC,"Lyons, Osborn and Alvarez","134 Jackson Overpass Apt. 818
Port Codyberg, AR 73292","94023 Wright Islands
Chenshire, VI 73615"
Matthew Garner,https://picsum.photos/61/557,MSc in Computer Science,8,Principal Software Engineer,Jackson Ltd,System Design,"Java, Database Management, Debugging, API Development, C++",1.7,355,No description available,Wong-Webb,"Garcia, Medina and Phelps","35257 Andrew Harbors
Lake Amandashire, TN 51645","PSC 9576, Box 6310
APO AP 92365"
Adriana Clark,https://picsum.photos/696/767,BSc in Network Engineering,11,Senior Network Engineer,Davis-Armstrong,Network Administration,"Network Design, Network Security, Cisco, Firewall Configuration, TCP/IP",4.9,356,No description available,Wright Group,Lopez LLC,"PSC 2465, Box 6845
APO AP 70225","3946 Weiss Route Suite 529
Grossport, GU 07643"
Christina Davis,https://picsum.photos/868/935,MSc in Computer Science,38,Senior Mobile App Developer,Tran-Gonzales,Android Development,"React Native, Kotlin, Mobile UI Design, Flutter, Java",2.8,357,No description available,Hicks Group,"Caldwell, Andrews and Williams","9241 Rebecca Street Suite 180
Parkerport, PW 66909","33460 Patricia Spurs
East Briana, WV 36614"
Mark Hensley,https://dummyimage.com/542x182,MSc in Computer Science,7,Principal Product Manager,Jackson Ltd,Agile Development,"Project Management, Product Roadmap, Scrum, Product Lifecycle Management, Agile",1.1,358,No description available,Jarvis-Doyle,Wong LLC,"251 Ashley Port Apt. 374
Port Kelli, IA 65056","670 Logan Lodge Apt. 171
East John, MD 69518"
Chad Roberts,https://placekitten.com/568/188,MSc in Cybersecurity,18,Cybersecurity Expert,Green-Sanders,Network Security,"Vulnerability Assessment, Incident Response, Firewall Management, Penetration Testing, Network Security",1.8,359,"Specialist in protecting systems, networks, and data from cyber threats and vulnerabilities.","Conrad, Archer and Sanders",Carson Group,"Unit 8075 Box 6935
DPO AE 57144","5258 Megan Extension Apt. 534
West Elainestad, DE 83818"
Ryan Hunt,https://dummyimage.com/90x298,BSc in Computer Science,14,Senior Frontend Developer,"Hernandez, Reyes and Mitchell",UI/UX Design,"React, HTML, Angular, UI/UX Design, TypeScript",2.1,360,No description available,Garcia-Irwin,Gallagher-Walker,"391 Donald Overpass
Pamelaside, TN 37683","3656 Jonathan Isle Suite 307
East Daniel, MS 94974"
Scott Jones,https://dummyimage.com/599x831,MSc in Cybersecurity,6,Principal Cybersecurity Specialist,"Shepard, Ross and Russell",Incident Response,"Incident Response, Ethical Hacking, Penetration Testing, Firewall Management, Vulnerability Assessment",4.3,361,No description available,Waters Inc,Page-Castaneda,"1959 Robinson Stravenue Apt. 791
Lanehaven, MA 80427","18057 Wilkinson Flat Suite 247
East Lisa, NJ 71849"
Patricia Miller,https://dummyimage.com/664x661,BSc in Data Science,31,Data Scientist,"Lopez, Cummings and Anderson",Big Data,"Machine Learning, Data Mining, Big Data, SQL, Statistics",4.4,362,"Skilled in data analysis, machine learning, and transforming data into actionable insights.","Mora, Hunter and Ortiz","Arnold, Crawford and Holmes","7504 Clark Land Apt. 359
New Michaelborough, OH 16396","2508 Smith Crescent Suite 480
Oconnellport, MO 42279"
Andrew Graham,https://placekitten.com/563/711,PhD in Artificial Intelligence,3,Principal AI Researcher,Foster-Freeman,Natural Language Processing,"Reinforcement Learning, Natural Language Processing, Deep Learning, TensorFlow, Computer Vision",1.9,363,No description available,Manning-Crawford,Torres PLC,"PSC 9674, Box 0759
APO AP 42757","1027 Tammy Branch
Stevenbury, NE 55582"
Shannon Weber,https://placekitten.com/60/923,BSc in Computer Science,5,Senior Frontend Developer,Branch-Shea,Responsive Design,"React, TypeScript, CSS, Vue.js, UI/UX Design",1.0,364,No description available,Lang-Brown,"Myers, Flores and Holland","436 Cox Glens Apt. 718
Delgadochester, DE 63104","PSC 6494, Box 6873
APO AP 91606"
Rebecca Boyle,https://dummyimage.com/634x104,MSc in Blockchain Technology,5,Principal Blockchain Developer,"Martinez, Thompson and Bailey",Cryptography,"Smart Contracts, Blockchain Development, Bitcoin, Solidity, Ethereum",4.1,365,No description available,Knight-Hernandez,Brown-Rodgers,"47058 Cortez Corner Apt. 039
Smithmouth, PR 27089","58270 Hardy Centers
Joycebury, AK 21118"
Richard Hill,https://placekitten.com/421/899,BSc in Computer Science,24,Senior Mobile App Developer,Lane LLC,Android Development,"Android Development, React Native, Cross-Platform Development, Kotlin, Swift",3.3,366,No description available,"Henson, Martin and Hernandez",Robinson-Nelson,"501 Williamson Junction
Nelsonshire, CA 55165","7042 Erica Plains
East Bernardberg, NM 98089"
Mark Mccarty,https://placekitten.com/944/58,MSc in Computer Science,2,Senior Mobile App Developer,Livingston Group,Android Development,"Swift, Mobile UI Design, React Native, Kotlin, Java",1.6,367,No description available,"Mccarthy, Bruce and Mccarthy",Marshall-Ramos,"0587 Bowman Knoll
Aaronside, FL 32137","606 Mitchell Trail
Moraleston, NC 87653"
Jade Saunders,https://placekitten.com/335/629,MSc in Data Engineering,28,Senior Data Engineer,"Graham, Gomez and Carlson",Data Pipeline Development,"Hadoop, Data Pipeline Development, ETL, SQL, Data Warehousing",3.3,368,No description available,White-Johnson,Williams-Wallace,"5635 Tina Isle Apt. 848
Port Joshua, MA 15088","829 Johnson Extensions
Christopherville, NM 58633"
Karen Conrad,https://dummyimage.com/341x199,BSc in Computer Science,33,Senior Backend Developer,"Rodriguez, Davis and Curtis",Backend Development,"Backend Development, Java, Microservices, Go, Node.js",4.8,369,No description available,Lopez Inc,"Bentley, Stout and Clarke","97841 Flores Prairie Apt. 420
Lake Beth, MI 28836","0606 Johnson Mall
Brianfurt, KY 00705"
Jonathan Pham,https://picsum.photos/611/526,MSc in Data Engineering,2,Data Engineer,"Herman, Black and Calderon",Data Engineering,"Hadoop, Big Data, Apache Spark, Data Pipeline Development, SQL",1.1,370,"Skilled in building and maintaining data pipelines, ensuring data integrity and availability for analysis.",Vaughn and Sons,Barrett Ltd,"Unit 9083 Box 2941
DPO AP 64833","64550 Grant Manor Suite 673
West Mariamouth, MT 67504"
Kimberly White,https://picsum.photos/917/594,BSc in Information Technology,18,Senior Frontend Developer,"Morton, Peterson and Estrada",Responsive Design,"Angular, UI/UX Design, Responsive Design, CSS, HTML",1.4,371,No description available,Smith PLC,Brown Inc,"USCGC Simon
FPO AA 37799","4643 Robin Key Suite 712
North Steven, FL 84845"
Michael Marshall,https://placekitten.com/256/568,MBA,19,Product Manager,Chapman-Fields,Product Management,"Stakeholder Management, Project Management, Market Research, User Experience, Scrum",1.4,372,"Responsible for defining product vision, strategy, and roadmap to deliver value to customers and stakeholders.",Barker-Williams,"Graham, Ortiz and Garcia","9146 Villegas Views
Nicoleberg, MD 82509","009 Kristi Mountains
West Lawrenceton, CA 34487"
Jessica Washington,https://dummyimage.com/101x1000,MSc in Cybersecurity,5,Cybersecurity Expert,"Harrison, Richards and Patterson",Incident Response,"Vulnerability Assessment, Incident Response, Cryptography, Penetration Testing, Network Security",4.5,373,"Specialist in protecting systems, networks, and data from cyber threats and vulnerabilities.","Little, Torres and Barber","Juarez, Miller and Matthews","4377 Maldonado Union Suite 143
South Grantton, HI 97780","USNV Dalton
FPO AP 50177"
Michael Hill,https://dummyimage.com/220x8,BSc in Computer Science,26,Blockchain Developer,Stewart-Taylor,Cryptography,"Bitcoin, Blockchain Development, Smart Contracts, Solidity, Consensus Algorithms",4.9,374,"Experienced in developing and implementing blockchain solutions, including smart contracts and decentralized applications.",George Inc,Hardin-Martin,"95533 Thomas Creek Suite 626
Pricebury, FM 24717","63039 Joseph Overpass
South Angela, MI 79717"
Donald Anthony,https://picsum.photos/244/338,PhD in Computer Science,30,Senior AI Scientist,Juarez-Clarke,Artificial Intelligence,"Algorithm Development, TensorFlow, Reinforcement Learning, Natural Language Processing, Computer Vision",1.8,375,No description available,"Mata, Sutton and Best",Carr-George,"2797 Derek Rue
Lake Lori, WY 46040","68298 Christopher Cliffs
New Natashahaven, MO 13406"
Christopher Johnson,https://placekitten.com/692/847,BSc in Computer Science,24,Senior Backend Developer,"Douglas, Franklin and Russo",Backend Development,"Go, Java, Python, SQL, Backend Development",2.1,376,No description available,Taylor Ltd,Bush LLC,"68209 Sarah Pass Suite 320
Brownland, IA 47699","5339 William Forks
Gregoryhaven, UT 46393"
Jacob Wiggins,https://dummyimage.com/415x36,BSc in Information Technology,8,Principal DevOps Engineer,Wise Ltd,Cloud Computing,"Terraform, Kubernetes, Docker, Azure, CI/CD",3.8,377,No description available,"Acevedo, Johnson and Martin",Flores-Blankenship,"6415 Reynolds Mountain Suite 069
Johnton, AR 85188","36739 Castillo Junctions
South Christianborough, DC 84801"
Robert Reyes,https://picsum.photos/496/393,MSc in Computer Science,1,Senior Mobile App Developer,Orozco Group,Android Development,"Cross-Platform Development, Android Development, Kotlin, React Native, Java",4.0,378,No description available,Short-Robertson,Solis LLC,"PSC 6791, Box 9415
APO AE 72948","3276 Powers Springs Apt. 649
Lake Dana, AK 26510"
Tonya Smith,https://placekitten.com/819/99,MSc in Computer Science,19,Senior Backend Developer,Ali-Zhang,Microservices Architecture,"Backend Development, Python, Microservices, Go, NoSQL Databases",4.7,379,No description available,Hernandez PLC,"Ross, Terry and Henry","9603 Phillips Rapid
West Kevinhaven, CT 79550","67595 Savage Light Apt. 077
West Justintown, VI 88000"
Cynthia Wyatt,https://picsum.photos/258/547,MSc in Computer Science,12,Principal Product Manager,"Harris, Hartman and Garza",Product Management,"Product Lifecycle Management, Stakeholder Management, User Experience, Project Management, Agile",2.3,380,No description available,"Rhodes, Andrews and Sandoval",Brooks-Hamilton,"092 David Burg Suite 471
East Cathychester, OK 86143","078 Wilson Expressway Suite 206
Taylortown, VT 58336"
Michael Hardin MD,https://placekitten.com/42/495,PhD in Artificial Intelligence,5,Principal AI Researcher,"Romero, Jones and Kaufman",Natural Language Processing,"Deep Learning, Natural Language Processing, Python, Algorithm Development, Reinforcement Learning",4.4,381,No description available,Duran Inc,Arias-Andersen,"5988 Reed Trail
Richardtown, OK 77431","58609 Jared Lodge
West Edwin, IA 42566"
Clifford West,https://placekitten.com/1019/807,MSc in Data Engineering,30,Senior Data Engineer,Hall-Fritz,Data Engineering,"Apache Spark, SQL, Hadoop, Data Warehousing, Python",1.2,382,No description available,Smith-Obrien,Curtis-Garza,"23551 Faulkner Square Apt. 036
Cohentown, WA 07642","8014 Torres Terrace
East Lisa, CT 94812"
Jeff Schroeder,https://placekitten.com/225/70,MSc in Computer Science,39,Full Stack Developer,Navarro-Romero,Full Stack Development,"React, Full Stack Development, Angular, CSS, JavaScript",1.8,383,"Versatile developer with expertise in both frontend and backend development, capable of building complete web applications.",Edwards-Taylor,James-Deleon,"33208 Jeremy Canyon
East Andrew, PW 69212","1507 Karen Manor
Erinhaven, WY 46167"
James Turner,https://placekitten.com/502/118,BSc in Information Technology,30,Senior DevOps Engineer,Taylor-Bryant,DevOps,"AWS, Docker, Shell Scripting, Linux, Ansible",1.6,384,No description available,Brown PLC,Hart and Sons,"0886 Mack Valley Apt. 277
Lake Anna, PA 64238","05048 Lisa Forks Apt. 902
West Williamhaven, VA 72811"
Craig Watson,https://placekitten.com/573/610,MSc in Blockchain Technology,10,Senior Blockchain Engineer,"Bean, Adams and Marks",Smart Contracts,"Bitcoin, Solidity, Ethereum, Cryptography, Hyperledger",4.6,385,No description available,Fisher Inc,Donovan PLC,"28792 Blankenship Summit
West Marychester, MO 03427","6634 Mark Tunnel Apt. 350
East Karenstad, MP 60025"
Susan Martinez,https://placekitten.com/484/732,BSc in Computer Science,4,Principal Software Engineer,"Dodson, Davies and Mueller",Database Systems,"Software Design, C++, Agile Methodologies, Database Management, Debugging",2.1,386,No description available,Roth-Kerr,"Duke, Clark and Wright","USCGC Garcia
FPO AP 21779","3612 Thompson Glen
Dodsonbury, AK 10229"
Laura Estrada,https://picsum.photos/379/672,MSc in Information Technology,18,DevOps Engineer,"Campbell, Francis and Smith",Automation,"Terraform, Ansible, CI/CD, AWS, Shell Scripting",3.5,387,"Expert in automation, continuous integration, and efficient deployment processes.",Foster-Watkins,Reyes-Carpenter,"571 Douglas Overpass Apt. 363
New Ryanland, CO 58325","4188 Buchanan Village Apt. 982
Walshfurt, WV 27867"
Kelli Quinn,https://picsum.photos/616/930,MSc in Information Technology,19,Principal DevOps Engineer,Griffith Inc,Infrastructure as Code,"Linux, Ansible, Kubernetes, AWS, Terraform",2.0,388,No description available,"Rivers, Dyer and Nelson",Moore-Nelson,"9358 Ramos Cliff
Jonathanstad, DC 10121","7224 Wright Mount Suite 235
New Adrienne, WV 29778"
Amanda Jackson,https://picsum.photos/797/500,MSc in Cybersecurity,12,Principal Cybersecurity Specialist,Vaughn PLC,Incident Response,"Cryptography, Network Security, Penetration Testing, Ethical Hacking, Incident Response",1.3,389,No description available,Dougherty LLC,Evans-Murphy,"41111 David Harbors Suite 212
South Williamborough, WI 45308","4626 Stephenson Route
Lake Julieburgh, ME 19029"
Gina Vincent,https://picsum.photos/520/56,BSc in Data Science,3,Principal Data Scientist,Davis-Wright,Machine Learning,"Natural Language Processing, Python, Statistics, R, SQL",1.9,390,No description available,Ward-Perez,Booth-Figueroa,"654 Holder Stravenue Apt. 871
Daniellemouth, WA 40280","11319 Yates Road
South Bradleyview, WY 12189"
Amanda Murphy,https://picsum.photos/474/476,MSc in Computer Science,33,Principal Product Manager,"Joseph, Vang and Dunn",Product Management,"Product Roadmap, Product Lifecycle Management, Scrum, Market Research, User Experience",3.1,391,No description available,Sullivan-Stanley,Bradley LLC,"970 Alexander Wells Suite 548
Blanchardton, HI 29956","1757 Susan Estate Apt. 599
Jeremyhaven, RI 02056"
Anna Berry,https://dummyimage.com/582x552,MSc in Computer Science,21,Senior Full Stack Developer,Lewis-Rodriguez,API Development,"Node.js, JavaScript, HTML, React, SQL",1.8,392,No description available,Hall-Franklin,"Graves, Harrison and Sanchez","83339 Robert Forest Suite 174
New Dawn, OK 41755","8927 Duke Forge
Port Matthewborough, GU 61364"
Steven Nelson,https://placekitten.com/911/843,BSc in Cybersecurity,4,Senior Cybersecurity Analyst,Steele Inc,Cybersecurity,"Cryptography, Ethical Hacking, Incident Response, Vulnerability Assessment, Penetration Testing",2.0,393,No description available,"Thompson, Norris and Drake",Miller PLC,"90032 Hoover Drives Suite 302
Lake Jeffreyville, MP 10362","87441 Christopher Cove
Port Daniel, MH 01935"
Kelly Ochoa,https://picsum.photos/656/158,MBA,40,Senior Product Manager,Shelton-Martin,Market Analysis,"Stakeholder Management, Product Lifecycle Management, Product Roadmap, Market Research, Agile",1.5,394,No description available,"Long, Ortega and Duncan",Morales-Nelson,"40069 Huber Garden
West Sarah, AK 14954","PSC 5464, Box 4874
APO AA 85367"
Colin Chambers,https://dummyimage.com/966x255,BSc in Computer Science,16,Blockchain Developer,"Miranda, Nelson and Green",Decentralized Applications (DApps),"Smart Contracts, Solidity, Distributed Systems, Bitcoin, Cryptography",1.1,395,"Experienced in developing and implementing blockchain solutions, including smart contracts and decentralized applications.",Ortiz Ltd,"Garner, Ryan and Williams","30129 Martinez Wells
Port Bruceborough, GU 21663","566 Megan Dam Suite 176
Gonzalesmouth, NE 57622"
Kevin Hill,https://dummyimage.com/131x676,BSc in Computer Science,14,Principal Backend Developer,Wilkerson-Ramirez,API Development,"Java, Node.js, Go, REST APIs, Microservices",4.0,396,No description available,Griffith-Patterson,"Bates, Nguyen and Paul","514 Contreras Inlet Suite 733
Jonesshire, CO 35902","34654 Dodson Springs
Shannonland, OH 90374"
Michael Wong,https://picsum.photos/239/513,MSc in Cybersecurity,29,Senior Cybersecurity Analyst,Roy-Johnson,Incident Response,"Vulnerability Assessment, Firewall Management, Cryptography, Security Information and Event Management (SIEM), Ethical Hacking",3.3,397,No description available,"Nelson, Riley and Adams",Acosta Inc,"101 Spencer Route
New Jonathanfort, WA 62938","369 Jonathan Highway Suite 184
Barnesville, MS 38527"
Rebecca Lawrence,https://picsum.photos/82/906,BSc in Cybersecurity,35,Principal Cybersecurity Specialist,Bowen-Robinson,Network Security,"Cryptography, Incident Response, Network Security, Ethical Hacking, Firewall Management",2.4,398,No description available,Mason Inc,"Rhodes, Thompson and Thompson","12233 Gill Port
Franklinmouth, FL 28708","09935 Jenkins Run Suite 697
West Matthew, NE 98908"
