name,photo,qualification,work_experience,current_position,current_employer,field_of_expertise,skills,average_rating
Clifford Solis DDS,https://picsum.photos/354/472,BSc in Cybersecurity,16,Cybersecurity Expert,Salazar Group,Threat Intelligence,"Cryptography, Penetration Testing, Security Information and Event Management (SIEM), Incident Response, Ethical Hacking",3.0
Laura Garcia,https://placekitten.com/510/302,MSc in Network Engineering,33,Network Engineer,Morgan Ltd,Network Design,"Firewall Configuration, VPN, Network Troubleshooting, Network Design, Network Security",3.5
Raymond White,https://picsum.photos/760/870,BSc in Computer Science,31,Principal Frontend Developer,"Valencia, Hernandez and Hernandez",Web Development,"Responsive Design, TypeScript, React, UI/UX Design, CSS",3.0
Andrea Reed,https://dummyimage.com/765x226,BSc in Information Systems,4,Senior Systems Analyst,"Juarez, Thomas and Stuart",Systems Analysis,"Database Management, Business Analysis, System Integration, Requirements Gathering, Process Improvement",2.0
Teresa Peters,https://picsum.photos/84/738,MSc in Blockchain Technology,39,Principal Blockchain Developer,Lynch-Taylor,Blockchain Technology,"Solidity, Smart Contracts, Blockchain Development, Consensus Algorithms, Hyperledger",1.2
Jeremy Burns,https://picsum.photos/1015/260,BSc in Cybersecurity,31,Cybersecurity Expert,Porter and Sons,Cybersecurity,"Firewall Management, Security Information and Event Management (SIEM), Vulnerability Assessment, Penetration Testing, Cryptography",1.6
Kaitlyn Mason,https://dummyimage.com/738x997,BSc in Information Technology,10,Principal Frontend Developer,Schwartz LLC,Frontend Development,"TypeScript, React, CSS, HTML, UI/UX Design",1.2
Michelle Price,https://dummyimage.com/213x125,MSc in Cybersecurity,30,Cybersecurity Expert,Shields PLC,Incident Response,"Incident Response, Cryptography, Penetration Testing, Firewall Management, Network Security",1.4
Robert Stewart,https://dummyimage.com/218x299,MSc in Network Engineering,26,Senior Network Engineer,Decker and Sons,Networking,"VPN, TCP/IP, Network Design, LAN/WAN, Firewall Configuration",4.2
David Gilbert,https://dummyimage.com/964x910,MSc in Computer Science,38,Senior Full Stack Developer,Smith-Collins,Full Stack Development,"HTML, JavaScript, REST APIs, CSS, SQL",2.7
Nicole Smith,https://placekitten.com/741/5,BSc in Computer Science,21,Backend Developer,Black-Kennedy,Backend Development,"SQL, NoSQL Databases, Microservices, Backend Development, REST APIs",4.3
Trevor Robinson,https://placekitten.com/632/143,BSc in Computer Science,35,Senior Full Stack Developer,Young-Weaver,Full Stack Development,"SQL, Full Stack Development, REST APIs, JavaScript, HTML",3.8
Jeffrey Gallagher,https://placekitten.com/190/482,BSc in Cybersecurity,28,Principal Cybersecurity Specialist,Valdez PLC,Incident Response,"Network Security, Firewall Management, Security Information and Event Management (SIEM), Incident Response, Penetration Testing",3.0
Micheal Rush,https://picsum.photos/437/894,MSc in Computer Science,19,Principal Full Stack Developer,Mitchell LLC,Frontend and Backend Integration,"CSS, Node.js, JavaScript, Angular, React",1.5
Mary Reed,https://picsum.photos/457/769,BSc in Data Science,8,Senior Data Scientist,Meyer PLC,Data Science,"Data Visualization, Python, R, Natural Language Processing, SQL",5.0
Laura Fisher,https://picsum.photos/697/914,BSc in Data Science,3,Senior Data Scientist,Rodriguez LLC,Data Science,"Statistics, Python, Data Visualization, Data Mining, SQL",1.6
Michele White,https://picsum.photos/151/854,MSc in Data Engineering,26,Principal Data Engineer,Hampton-Huffman,Data Pipeline Development,"SQL, Database Management, Python, Data Pipeline Development, Hadoop",4.0
Caleb Foster,https://dummyimage.com/408x708,MSc in Cybersecurity,21,Senior Cybersecurity Analyst,"Villanueva, Watts and Gibson",Network Security,"Network Security, Incident Response, Ethical Hacking, Vulnerability Assessment, Security Information and Event Management (SIEM)",4.4
Jonathan Medina,https://picsum.photos/32/860,MSc in Blockchain Technology,21,Senior Blockchain Engineer,Smith and Sons,Smart Contracts,"Smart Contracts, Consensus Algorithms, Hyperledger, Cryptography, Distributed Systems",3.2
Amanda Smith,https://picsum.photos/383/672,BSc in Information Systems,40,Principal Systems Analyst,"Kramer, Reeves and Webb",System Integration,"Process Improvement, Requirements Gathering, Database Management, Technical Documentation, UML",1.9
Isabel Hart,https://dummyimage.com/161x453,MSc in Information Systems,6,Principal Systems Analyst,Mclean-Tate,Systems Analysis,"Requirements Gathering, Technical Documentation, UML, Process Improvement, Database Management",1.5
Kaitlyn Perez,https://placekitten.com/402/377,MSc in Computer Science,37,Senior Product Manager,"Fitzpatrick, Pierce and Nicholson",Agile Development,"Project Management, Market Research, Scrum, Product Roadmap, Product Lifecycle Management",1.9
Nicholas Hoover,https://dummyimage.com/18x1011,MSc in Computer Science,8,Principal Product Manager,Marshall LLC,User Experience,"Scrum, User Experience, Agile, Project Management, Market Research",1.8
Marcus Pratt,https://picsum.photos/945/341,BSc in Computer Science,5,Mobile App Developer,"Conrad, Beard and Brown",Cross-Platform Development,"React Native, Kotlin, Swift, Flutter, Android Development",2.2
Jon Randall,https://dummyimage.com/785x802,BSc in Information Systems,38,Principal Systems Analyst,"Smith, Wilcox and Cherry",System Integration,"Business Analysis, System Integration, UML, Process Improvement, Database Management",3.0
Jennifer Tyler,https://placekitten.com/177/455,MSc in Data Engineering,9,Principal Data Engineer,Smith-Thomas,ETL Processes,"Big Data, Data Pipeline Development, Apache Spark, Hadoop, Data Warehousing",2.0
Tyler Mays,https://dummyimage.com/4x738,BSc in Computer Science,18,Senior Frontend Developer,"Li, Hess and Ford",UI/UX Design,"UI/UX Design, React, Responsive Design, TypeScript, JavaScript",4.5
Alex Cruz,https://dummyimage.com/855x370,MSc in Computer Science,35,Principal Full Stack Developer,Ramirez-Price,Full Stack Development,"CSS, Full Stack Development, JavaScript, HTML, SQL",4.2
Jill Barry,https://dummyimage.com/754x132,BSc in Data Engineering,10,Principal Data Engineer,"Jackson, Craig and Smith",Data Pipeline Development,"Hadoop, Python, Apache Spark, SQL, Data Pipeline Development",4.1
Shannon Roberts,https://placekitten.com/829/369,MSc in Blockchain Technology,20,Senior Blockchain Engineer,Ramos-Rios,Cryptography,"Consensus Algorithms, Cryptography, Smart Contracts, Hyperledger, Bitcoin",4.9
Sean Williams,https://placekitten.com/815/816,MSc in Information Systems,30,Principal Systems Analyst,"Schwartz, Cantrell and Shields",System Integration,"System Analysis, Process Improvement, Technical Documentation, System Integration, UML",5.0
Laura Wallace,https://dummyimage.com/792x864,BSc in Information Systems,29,Principal Systems Analyst,Fischer-Fischer,Systems Analysis,"Process Improvement, Database Management, Business Analysis, UML, Technical Documentation",4.2
Steven Cooper,https://picsum.photos/688/570,BSc in Network Engineering,11,Principal Network Engineer,Carter-Williams,Networking,"Network Security, VPN, LAN/WAN, TCP/IP, Network Troubleshooting",3.1
Brittany Scott,https://picsum.photos/693/545,BSc in Data Science,4,Principal Data Scientist,"Neal, Oneill and Yang",Data Science,"SQL, Python, R, Big Data, Data Mining",4.5
Valerie Kane,https://dummyimage.com/11x252,MSc in Data Science,21,Senior Data Scientist,Powell-Ayala,Big Data,"Big Data, Machine Learning, Python, Statistics, R",4.7
Christian Fuller,https://picsum.photos/254/212,BSc in Computer Science,4,Senior Blockchain Engineer,Carey-Allison,Decentralized Applications (DApps),"Solidity, Cryptography, Bitcoin, Smart Contracts, Hyperledger",2.1
Kimberly Martin,https://picsum.photos/946/799,BSc in Computer Science,34,Full Stack Developer,Blankenship and Sons,API Development,"React, REST APIs, Angular, Node.js, HTML",3.0
Rachel Williams,https://picsum.photos/49/359,MSc in Network Engineering,3,Network Engineer,Kim-Martinez,Network Security,"Network Security, Firewall Configuration, Network Troubleshooting, Wireless Networking, VPN",3.8
Juan Prince,https://dummyimage.com/801x19,MSc in Computer Science,32,Senior Product Manager,Anderson LLC,Product Management,"User Experience, Agile, Stakeholder Management, Product Roadmap, Scrum",4.0
Frances Ward,https://placekitten.com/859/903,MSc in Computer Science,6,Principal Product Manager,Green-Brown,Product Management,"Project Management, Agile, Market Research, User Experience, Scrum",3.4
Sharon Perez,https://dummyimage.com/170x482,MSc in Computer Science,36,Full Stack Developer,"Flores, Ruiz and Webb",Frontend and Backend Integration,"Node.js, React, REST APIs, Full Stack Development, SQL",4.2
Aaron Santiago,https://placekitten.com/990/906,MSc in Computer Science,1,Senior Full Stack Developer,"Miller, Johnson and Griffin",Full Stack Development,"SQL, Node.js, React, CSS, HTML",2.3
Jason Brown,https://picsum.photos/310/632,BSc in Cybersecurity,34,Principal Cybersecurity Specialist,"Murphy, Freeman and Munoz",Threat Intelligence,"Firewall Management, Security Information and Event Management (SIEM), Cryptography, Vulnerability Assessment, Penetration Testing",3.7
William Obrien,https://placekitten.com/119/51,MSc in Computer Science,21,Principal Backend Developer,Watson Group,API Development,"SQL, Python, Java, Node.js, Backend Development",3.7
Barbara Lawson,https://placekitten.com/877/57,PhD in Artificial Intelligence,26,AI Researcher,"Casey, Harris and Bolton",Artificial Intelligence,"Machine Learning, TensorFlow, Algorithm Development, Natural Language Processing, Deep Learning",2.3
Brian Franklin,https://placekitten.com/910/121,MSc in Blockchain Technology,30,Blockchain Developer,"Sandoval, Martin and Blevins",Decentralized Applications (DApps),"Cryptography, Smart Contracts, Distributed Systems, Bitcoin, Solidity",3.0
Beth Ortiz,https://picsum.photos/948/539,MSc in Computer Science,40,Backend Developer,Diaz Group,API Development,"REST APIs, SQL, Go, NoSQL Databases, Node.js",5.0
Gabrielle Mason DDS,https://dummyimage.com/569x170,BSc in Information Technology,17,Senior Frontend Developer,"Smith, Ochoa and Pierce",Frontend Development,"JavaScript, React, CSS, UI/UX Design, Vue.js",4.6
Stephanie Manning,https://picsum.photos/153/40,BSc in Data Science,1,Senior Data Scientist,"Holmes, Thompson and Thomas",Predictive Analytics,"SQL, Statistics, Python, Natural Language Processing, Data Mining",4.6
Brian Hubbard,https://placekitten.com/650/944,MSc in Information Technology,27,Senior DevOps Engineer,Martin PLC,DevOps,"Kubernetes, Terraform, CI/CD, Ansible, Azure",5.0
Jonathan Miranda,https://placekitten.com/773/860,PhD in Computer Science,21,AI Researcher,"Sherman, Greene and Hardy",Deep Learning,"Deep Learning, PyTorch, Reinforcement Learning, Computer Vision, Machine Learning",4.8
Terry Johnson,https://dummyimage.com/768x910,MSc in Network Engineering,34,Principal Network Engineer,Andersen-Allen,Network Design,"Firewall Configuration, Network Security, Network Design, Cisco, TCP/IP",1.7
Jeremy Collins,https://picsum.photos/1002/61,PhD in Artificial Intelligence,34,Principal AI Researcher,Burgess LLC,Deep Learning,"Reinforcement Learning, Computer Vision, TensorFlow, Natural Language Processing, Deep Learning",1.0
Debra Clark,https://dummyimage.com/467x137,BSc in Computer Science,38,Principal Mobile App Developer,Atkins-Rodriguez,iOS Development,"Java, Android Development, Cross-Platform Development, iOS Development, Swift",1.1
Lisa Reyes,https://placekitten.com/127/70,PhD in Computer Science,24,Principal Software Engineer,"Estes, Walker and Suarez",Database Systems,"Debugging, Agile Methodologies, Database Management, API Development, C++",4.3
Ryan Shah,https://dummyimage.com/83x442,MSc in Computer Science,20,Principal Mobile App Developer,Salazar-Banks,Cross-Platform Development,"Android Development, Swift, Mobile UI Design, React Native, Cross-Platform Development",1.8
Sean Hall,https://dummyimage.com/786x182,MSc in Computer Science,39,Full Stack Developer,"Stone, Ward and Sanders",Web Development,"Node.js, Angular, Full Stack Development, CSS, REST APIs",4.9
Jeremy Montgomery,https://picsum.photos/15/735,BSc in Computer Science,24,Lead Software Developer,Hodge-Martinez,Software Engineering,"Debugging, Java, Python, Software Design, API Development",2.8
Nicole Fisher,https://placekitten.com/496/130,MSc in Cybersecurity,9,Principal Cybersecurity Specialist,"Salas, Lynch and Baker",Threat Intelligence,"Network Security, Firewall Management, Vulnerability Assessment, Penetration Testing, Cryptography",1.5
Melissa George,https://placekitten.com/873/927,BSc in Network Engineering,8,Senior Network Engineer,Smith-Smith,Network Security,"Cisco, TCP/IP, VPN, Wireless Networking, Network Design",3.8
Mrs. Renee Cook,https://placekitten.com/8/394,MSc in Computer Science,3,Senior Full Stack Developer,Diaz and Sons,Frontend and Backend Integration,"CSS, Angular, REST APIs, HTML, Node.js",3.9
Kevin Lee,https://placekitten.com/656/437,MSc in Computer Science,25,Senior Software Engineer,"Tran, Wood and Savage",Database Systems,"Database Management, Agile Methodologies, C++, Debugging, API Development",4.0
Kaitlyn James,https://placekitten.com/30/415,MSc in Cybersecurity,33,Cybersecurity Expert,Hill Group,Network Security,"Vulnerability Assessment, Cryptography, Security Information and Event Management (SIEM), Ethical Hacking, Firewall Management",2.1
Dr. Ann Fernandez,https://placekitten.com/7/940,BSc in Computer Science,19,Principal Mobile App Developer,"Reyes, Collins and Miller",Android Development,"Kotlin, iOS Development, Android Development, Mobile UI Design, React Native",4.2
Monica Wood,https://placekitten.com/676/387,MSc in Network Engineering,7,Network Engineer,Kennedy Inc,Networking,"Firewall Configuration, Network Troubleshooting, TCP/IP, VPN, Network Security",2.9
Christine Cook,https://picsum.photos/584/933,BSc in Computer Science,6,Senior Full Stack Developer,"Huff, Jones and Frey",Web Development,"Angular, CSS, HTML, Node.js, SQL",4.9
Mark Floyd,https://picsum.photos/367/934,BSc in Computer Science,2,Blockchain Developer,"Smith, Miller and Ramirez",Smart Contracts,"Bitcoin, Distributed Systems, Blockchain Development, Cryptography, Ethereum",3.6
Kathleen Reese,https://picsum.photos/475/464,MSc in Computer Science,13,Principal Backend Developer,Baker-Henson,Microservices Architecture,"REST APIs, SQL, NoSQL Databases, Python, Microservices",2.9
Donald Carpenter,https://placekitten.com/741/474,PhD in Data Science,11,Senior Data Scientist,Suarez Group,Big Data,"Natural Language Processing, Data Visualization, Statistics, Python, SQL",4.1
James Mendoza,https://placekitten.com/580/978,MSc in Data Science,2,Data Scientist,White LLC,Data Science,"R, SQL, Python, Big Data, Natural Language Processing",3.5
Richard Brown,https://dummyimage.com/455x153,BSc in Cybersecurity,40,Principal Cybersecurity Specialist,Holt-Gilbert,Cybersecurity,"Firewall Management, Incident Response, Penetration Testing, Cryptography, Ethical Hacking",3.7
Ryan Kelly,https://placekitten.com/299/135,MSc in Computer Science,39,Senior Software Engineer,"Salazar, Yoder and Shelton",Database Systems,"Agile Methodologies, Java, Python, Debugging, Database Management",2.2
Marc Martinez,https://placekitten.com/36/1018,BSc in Data Science,25,Principal Data Scientist,Thomas Ltd,Data Science,"Data Mining, Natural Language Processing, Statistics, Machine Learning, Big Data",4.8
Michelle Lane,https://placekitten.com/752/784,BSc in Information Systems,30,Systems Analyst,"Davenport, Richardson and Smith",System Integration,"System Analysis, Database Management, Requirements Gathering, Technical Documentation, Business Analysis",1.5
Amanda Coleman,https://picsum.photos/730/205,BSc in Computer Science,16,Senior Blockchain Engineer,Harmon Ltd,Blockchain Technology,"Cryptography, Bitcoin, Hyperledger, Solidity, Ethereum",3.4
Sean Manning,https://dummyimage.com/48x76,PhD in Computer Science,33,Principal AI Researcher,Holmes and Sons,Computer Vision,"Reinforcement Learning, Python, Algorithm Development, PyTorch, Machine Learning",2.6
Frances Gaines,https://dummyimage.com/854x213,PhD in Computer Science,25,Senior AI Scientist,"Logan, Mcmillan and Rodriguez",Computer Vision,"Natural Language Processing, PyTorch, Machine Learning, Deep Learning, Reinforcement Learning",1.8
Thomas Morales,https://picsum.photos/187/33,MSc in Information Technology,2,Senior DevOps Engineer,Green PLC,Infrastructure as Code,"Azure, Shell Scripting, Terraform, Kubernetes, Docker",2.5
Michael Davis,https://dummyimage.com/16x55,PhD in Artificial Intelligence,36,Senior AI Scientist,James-Smith,Natural Language Processing,"Machine Learning, Deep Learning, Python, Reinforcement Learning, Computer Vision",3.7
Rebecca Hanson,https://dummyimage.com/845x691,MSc in Computer Science,25,Senior Software Engineer,Powell Inc,Database Systems,"System Architecture, API Development, Python, Database Management, Agile Methodologies",2.1
James Ferguson,https://picsum.photos/434/723,MSc in Computer Science,8,Principal Software Engineer,Meadows and Sons,Software Engineering,"Python, API Development, C++, Database Management, System Architecture",4.4
Robert Stewart,https://placekitten.com/773/789,BSc in Data Science,13,Senior Data Scientist,"Torres, Ramsey and Harris",Data Science,"Machine Learning, Big Data, SQL, Python, Natural Language Processing",3.7
Maria Ortiz,https://dummyimage.com/363x237,MSc in Information Systems,23,Senior Systems Analyst,"Murray, Allen and Phillips",System Integration,"System Analysis, UML, Business Analysis, Requirements Gathering, Technical Documentation",4.9
Scott Smith,https://placekitten.com/672/262,BSc in Information Technology,3,Principal Frontend Developer,"Sanders, Baldwin and Nguyen",Responsive Design,"Vue.js, TypeScript, HTML, JavaScript, Angular",3.7
Brian Mejia,https://dummyimage.com/84x202,PhD in Artificial Intelligence,21,Senior AI Scientist,Holt LLC,Natural Language Processing,"Machine Learning, TensorFlow, Computer Vision, Deep Learning, Natural Language Processing",3.6
Jessica Bridges,https://dummyimage.com/67x40,MSc in Computer Science,11,Senior Full Stack Developer,"Morrison, Moran and Green",API Development,"Node.js, React, Angular, SQL, CSS",3.2
Anthony Martinez,https://placekitten.com/341/414,BSc in Computer Science,21,Senior Software Engineer,Walters-Newton,Database Systems,"System Architecture, C++, Agile Methodologies, Debugging, Java",4.1
Jamie Alexander,https://placekitten.com/530/811,BSc in Information Technology,38,Senior Frontend Developer,Miller-Decker,UI/UX Design,"UI/UX Design, HTML, CSS, JavaScript, React",4.1
Angela Smith,https://placekitten.com/685/711,BSc in Computer Science,1,Full Stack Developer,"Baker, Simpson and White",API Development,"SQL, Angular, HTML, JavaScript, REST APIs",2.3
Larry Hester,https://dummyimage.com/590x178,BSc in Computer Science,32,Full Stack Developer,"Carr, Hayes and Pittman",Web Development,"HTML, SQL, REST APIs, JavaScript, Node.js",4.0
Kim Tanner,https://picsum.photos/503/764,BSc in Network Engineering,6,Senior Network Engineer,"Pearson, Russell and King",Network Design,"Network Troubleshooting, Network Design, Cisco, VPN, LAN/WAN",2.7
Amber Shannon,https://dummyimage.com/532x761,MSc in Computer Science,3,Backend Developer,Ochoa-Powell,Database Management,"Microservices, Go, Node.js, REST APIs, SQL",4.8
Holly Greene,https://dummyimage.com/69x248,BSc in Information Technology,34,Principal DevOps Engineer,Brown-Dixon,Automation,"Linux, AWS, CI/CD, Shell Scripting, Ansible",2.4
Caroline Rice,https://picsum.photos/725/703,BSc in Information Systems,27,Principal Systems Analyst,Hill-Ford,System Integration,"Business Analysis, Database Management, System Integration, Process Improvement, System Analysis",3.9
Melissa Delacruz,https://placekitten.com/910/9,PhD in Data Science,20,Senior Data Scientist,Aguilar PLC,Predictive Analytics,"Big Data, Data Visualization, Data Mining, Natural Language Processing, Statistics",4.7
Alison Ross,https://placekitten.com/223/762,BSc in Network Engineering,6,Network Engineer,Bryant and Sons,Network Design,"Network Troubleshooting, VPN, Cisco, TCP/IP, Network Design",3.1
Lacey Malone,https://placekitten.com/744/335,BSc in Network Engineering,10,Principal Network Engineer,"Schultz, Bishop and Nixon",Network Design,"VPN, TCP/IP, Network Troubleshooting, Network Security, Network Design",1.7
Katherine Bates,https://dummyimage.com/231x135,MSc in Information Technology,13,Senior DevOps Engineer,"Figueroa, Shields and Miller",Automation,"Linux, AWS, CI/CD, Ansible, Docker",1.4
Randy Murray,https://picsum.photos/803/998,PhD in Computer Science,12,Senior Software Engineer,Garner-Peterson,Cloud Computing,"Agile Methodologies, API Development, Software Design, Python, C++",4.8
Jennifer Evans,https://placekitten.com/848/883,BSc in Computer Science,9,Lead Software Developer,Randolph-Flores,Database Systems,"System Architecture, Debugging, C++, API Development, Java",3.0
Roger Hart,https://dummyimage.com/528x161,BSc in Information Systems,17,Senior Systems Analyst,"Brown, Villarreal and Park",Business Analysis,"Business Analysis, Database Management, UML, Technical Documentation, System Integration",3.2
Kristen Horn,https://picsum.photos/578/910,MBA,20,Product Manager,"Wang, Hernandez and Hendrix",User Experience,"Market Research, Scrum, Product Lifecycle Management, Agile, Stakeholder Management",1.3
Scott Rodriguez,https://placekitten.com/915/325,MSc in Computer Science,14,Senior Software Engineer,Jefferson-Christensen,Software Engineering,"Python, System Architecture, Debugging, API Development, C++",2.7
Jonathan Moore,https://dummyimage.com/732x112,PhD in Computer Science,19,Principal Software Engineer,"Dixon, Brooks and Spears",Cloud Computing,"Python, Java, Debugging, Software Design, API Development",2.5
Reginald Lam,https://picsum.photos/282/583,BSc in Data Engineering,39,Principal Data Engineer,"Hooper, Jones and Roberts",Data Pipeline Development,"Big Data, Data Pipeline Development, Hadoop, Python, Data Warehousing",1.5
Jennifer Bowen,https://picsum.photos/679/416,MSc in Computer Science,14,Full Stack Developer,Park-Moody,API Development,"CSS, React, Node.js, JavaScript, HTML",2.2
William Wise,https://placekitten.com/1008/508,MSc in Computer Science,20,Full Stack Developer,Marquez PLC,Web Development,"HTML, REST APIs, Angular, JavaScript, CSS",1.4
Kelly Bishop,https://dummyimage.com/279x25,BSc in Information Systems,15,Systems Analyst,Lane PLC,System Integration,"Business Analysis, Process Improvement, Requirements Gathering, System Analysis, System Integration",2.5
Sarah Mcmillan,https://placekitten.com/437/326,MSc in Computer Science,21,Product Manager,Valenzuela PLC,Product Management,"Project Management, Stakeholder Management, Market Research, User Experience, Product Lifecycle Management",1.9
Joshua Armstrong,https://placekitten.com/810/13,MSc in Blockchain Technology,7,Principal Blockchain Developer,Baker-Carpenter,Blockchain Technology,"Cryptography, Hyperledger, Smart Contracts, Bitcoin, Consensus Algorithms",3.9
Dr. Corey Greene Jr.,https://picsum.photos/765/736,MSc in Information Technology,20,DevOps Engineer,Snyder-Smith,Cloud Computing,"Shell Scripting, Azure, Ansible, Linux, Terraform",3.4
Jordan Rodriguez,https://picsum.photos/833/194,MSc in Computer Science,15,Senior Product Manager,"Jones, Baker and Yoder",Product Management,"Project Management, User Experience, Agile, Market Research, Stakeholder Management",2.8
Dakota Beck,https://picsum.photos/525/827,BSc in Cybersecurity,4,Cybersecurity Expert,"Vaughn, Martin and Collins",Threat Intelligence,"Security Information and Event Management (SIEM), Penetration Testing, Vulnerability Assessment, Ethical Hacking, Cryptography",4.0
Paul West,https://dummyimage.com/128x23,MSc in Computer Science,16,Mobile App Developer,Waters-Jenkins,iOS Development,"Java, Kotlin, Cross-Platform Development, iOS Development, Swift",4.1
Dr. Patricia Johnson,https://placekitten.com/679/848,MSc in Computer Science,3,Senior Full Stack Developer,"Baker, Sims and Mata",Frontend and Backend Integration,"Node.js, JavaScript, SQL, Angular, CSS",3.1
Brandon Sanchez,https://placekitten.com/119/534,BSc in Information Systems,6,Principal Systems Analyst,Meyer Group,System Integration,"System Integration, UML, System Analysis, Technical Documentation, Database Management",4.7
Jennifer Johnson,https://picsum.photos/551/199,BSc in Information Technology,9,Senior DevOps Engineer,"Anderson, Smith and Carrillo",DevOps,"Docker, AWS, Terraform, Kubernetes, Azure",3.9
Mark Barton,https://picsum.photos/826/638,MSc in Information Technology,8,Principal DevOps Engineer,Murphy-Cunningham,DevOps,"AWS, Kubernetes, CI/CD, Docker, Terraform",2.2
Matthew Brown,https://picsum.photos/259/315,MSc in Information Technology,34,Principal DevOps Engineer,"Wilson, Dean and Maddox",Cloud Computing,"Linux, Shell Scripting, Ansible, Terraform, Azure",1.1
Jeffery Davis,https://dummyimage.com/701x605,PhD in Artificial Intelligence,28,Senior AI Scientist,"Kim, Moore and Valenzuela",Deep Learning,"Computer Vision, Reinforcement Learning, Machine Learning, Python, Natural Language Processing",3.7
Robert Hunter,https://picsum.photos/477/676,MSc in Computer Science,23,Senior Mobile App Developer,Morgan LLC,Mobile App Development,"Flutter, Swift, iOS Development, Cross-Platform Development, Android Development",4.3
Tammy Phillips,https://placekitten.com/419/999,MSc in Network Engineering,24,Principal Network Engineer,"Gardner, Wilson and Walls",Networking,"Firewall Configuration, VPN, Network Design, Cisco, LAN/WAN",4.8
Andrew Cooper,https://picsum.photos/109/796,MSc in Network Engineering,33,Principal Network Engineer,Terry-Nelson,Network Design,"Network Design, Network Security, Firewall Configuration, Cisco, Network Troubleshooting",1.1
Mr. Brian Cooper,https://dummyimage.com/333x281,MSc in Computer Science,14,Senior Full Stack Developer,Baker PLC,Full Stack Development,"React, CSS, JavaScript, Angular, Node.js",3.4
Michael Ball,https://dummyimage.com/420x180,BSc in Network Engineering,17,Principal Network Engineer,Snow Ltd,Network Administration,"Network Troubleshooting, Network Design, Network Security, TCP/IP, Firewall Configuration",1.9
Carol Smith,https://placekitten.com/237/867,MSc in Computer Science,2,Backend Developer,"Sanchez, Brown and Mayer",Microservices Architecture,"NoSQL Databases, Backend Development, Microservices, SQL, REST APIs",2.6
Holly Anderson,https://dummyimage.com/739x121,MSc in Blockchain Technology,21,Principal Blockchain Developer,"Thomas, Matthews and Rhodes",Decentralized Applications (DApps),"Hyperledger, Solidity, Bitcoin, Blockchain Development, Smart Contracts",2.3
Michael Boyd,https://dummyimage.com/854x80,MSc in Information Systems,40,Principal Systems Analyst,Avila-Morales,Process Improvement,"Technical Documentation, Requirements Gathering, UML, Database Management, System Integration",1.6
Jesse Johnson,https://placekitten.com/76/415,BSc in Cybersecurity,24,Senior Cybersecurity Analyst,Mcintosh and Sons,Threat Intelligence,"Network Security, Ethical Hacking, Penetration Testing, Security Information and Event Management (SIEM), Cryptography",4.2
Sandra Simmons,https://dummyimage.com/465x661,MSc in Blockchain Technology,35,Blockchain Developer,Hopkins Ltd,Smart Contracts,"Blockchain Development, Bitcoin, Consensus Algorithms, Ethereum, Cryptography",4.7
Tamara Lynch,https://placekitten.com/449/899,MSc in Data Engineering,26,Senior Data Engineer,Valdez Ltd,Data Pipeline Development,"Hadoop, ETL, Python, Data Pipeline Development, Data Warehousing",3.4
Michael Young,https://dummyimage.com/126x976,PhD in Artificial Intelligence,25,Senior AI Scientist,Grant PLC,Computer Vision,"TensorFlow, Machine Learning, Python, Computer Vision, Algorithm Development",3.4
Kristen Webb,https://picsum.photos/744/213,MSc in Information Systems,29,Senior Systems Analyst,Hernandez LLC,Business Analysis,"System Analysis, Process Improvement, System Integration, Business Analysis, Database Management",4.9
Angela Williams,https://picsum.photos/807/681,BSc in Computer Science,24,Lead Software Developer,Gray Inc,Database Systems,"API Development, Debugging, C++, Agile Methodologies, Java",4.0
Donald Williams,https://placekitten.com/784/597,BSc in Cybersecurity,10,Principal Cybersecurity Specialist,Robinson LLC,Cybersecurity,"Cryptography, Firewall Management, Penetration Testing, Ethical Hacking, Security Information and Event Management (SIEM)",4.8
Stacy Lawrence,https://placekitten.com/455/774,MBA,12,Product Manager,Daugherty-Wilson,User Experience,"Project Management, Product Roadmap, Scrum, Agile, Market Research",2.8
John Green,https://dummyimage.com/814x833,BSc in Data Engineering,25,Senior Data Engineer,Smith Ltd,ETL Processes,"Apache Spark, SQL, Database Management, Hadoop, Big Data",2.9
Dawn Anthony,https://placekitten.com/191/769,BSc in Cybersecurity,13,Senior Cybersecurity Analyst,Lambert-Bridges,Cybersecurity,"Cryptography, Ethical Hacking, Vulnerability Assessment, Penetration Testing, Network Security",2.0
Tammy Olson,https://placekitten.com/879/682,BSc in Computer Science,7,Backend Developer,"Haynes, Morris and Williams",API Development,"NoSQL Databases, Backend Development, SQL, Python, Go",2.3
Edward Gonzalez,https://placekitten.com/987/426,BSc in Computer Science,25,Principal Mobile App Developer,Watts-Smith,Cross-Platform Development,"Cross-Platform Development, Android Development, Mobile UI Design, Flutter, React Native",2.9
Brian Taylor DDS,https://placekitten.com/536/940,BSc in Computer Science,7,Lead Software Developer,"Davis, Hawkins and Williams",Software Engineering,"Agile Methodologies, Debugging, System Architecture, C++, Python",2.9
Kelly Smith,https://dummyimage.com/416x474,MSc in Computer Science,24,Senior Backend Developer,Mosley Ltd,API Development,"Go, REST APIs, Node.js, Python, Java",3.7
Ronald Davis,https://dummyimage.com/62x571,MSc in Computer Science,9,Mobile App Developer,Gonzales and Sons,iOS Development,"Cross-Platform Development, Java, React Native, iOS Development, Swift",1.4
